model|source|pk|prompt
gpt-4-turbo|normbank|01HJPX501D6VT3HWTJQGJ0VX9E|wipe down the machines
gpt-4-turbo|normbank|01HJPX5024T4NYK2JYXCPDA817|get up and leave without saying goodbye
gpt-4-turbo|normbank|01HJPX502TA4K0YVGQT8E777WS|adopt a new animal
gpt-4-turbo|normbank|01HJPX503GZ332TDT4RA93XM0F|get on your knees and pray
gpt-4-turbo|normbank|01HJPX50425WQK2TM93Z0HXPSH|give someone a sexual innuendo
gpt-4-turbo|normbank|01HJPX504SAHM8GGMEZWXK47BS|pray before the game
gpt-4-turbo|normbank|01HJPX505GZMHWT9TGM7VYZ209|adjust your clothing
gpt-4-turbo|normbank|01HJPX50673F7YYVZ37PDMVF94|travel without food
gpt-4-turbo|normbank|01HJPX506XJBV03HWPXFQQD8EM|show your bare shoulders
gpt-4-turbo|normbank|01HJPX507NFSWYB2GD4SBCJ984|drive a motor vehicle
gpt-4-turbo|normbank|01HJPX50874EGC7RD7QNVG6NCG|have a pick-up game
gpt-4-turbo|normbank|01HJPX5091VCZN14A4P0WMNG0J|bring food and drinks to customers
gpt-4-turbo|normbank|01HJPX509JZRA0ZATK2HDQF4SN|take your shoes off
gpt-4-turbo|normbank|01HJPX50A0HE4X76P8CDR16ZW1|bowl with two bowling balls
gpt-4-turbo|normbank|01HJPX50AJA1V849FWY3WKWNXF|take a child
gpt-4-turbo|normbank|01HJPX50B7WZCRSQRHECGRA3KT|use a flash
gpt-4-turbo|normbank|01HJPX50C80P0SDKXF3D0R9E9Q|pay
gpt-4-turbo|normbank|01HJPX50CZEPVTD8P5H2N8KKEY|fertilize it
gpt-4-turbo|normbank|01HJPX50DKEGNRA06E87WEN28A|scale or jump over barriers
gpt-4-turbo|social_iqa|01HJPX50E5D37JVG95E39Z7MW9|Skylar told lee to bring drinks to the party for everyone attending.
gpt-4-turbo|social_iqa|01HJPX50ER6TSSBN1TCYW30GPX|Riley's baby woke up in the middle of the night and began to cry.
gpt-4-turbo|social_iqa|01HJPX50FE3XYZBBPYWYHNM43J|Jesse ran Alex's fingers down the book to see if he could feel in his hands after having surgery.
gpt-4-turbo|social_iqa|01HJPX50G51KYBXSR1A86XPVX8|The fall semester of school was over, so Tracy went home for the holidays.
gpt-4-turbo|social_iqa|01HJPX50GPF1JKSV47YGYFCTY3|Casey owed money for college and Remy paid her bill so she wouldn't owe.
gpt-4-turbo|social_iqa|01HJPX50H8HZTHQC8WYHK4FYF0|Carson brought children into the world because he was an optimist.
gpt-4-turbo|social_iqa|01HJPX50HW3TF15XJQPWQK4SX1|Kai took their phone out of the box and read the directions.
gpt-4-turbo|social_iqa|01HJPX50JEYPPAP0140XBGSE9W|Cameron and ash worked together at a school. Cameron took Ash to get lunch.
gpt-4-turbo|social_iqa|01HJPX50JV4C0EZG70G6WQWPMF|Sydney lost all the money.
gpt-4-turbo|social_iqa|01HJPX50KDM4P2Q48AK3X1JBHJ|Bailey discussed this matter in detail. It didn't change the bottom line.
gpt-4-turbo|social_iqa|01HJPX50M43DZG8PV5R25MJ15Y|Austin observed every delivery when they heard that some of the drivers were stealing orders.
gpt-4-turbo|social_iqa|01HJPX50MTVB1WC1HZ16HRPKZC|Quinn gave Bailey the best advice of her life, that she should vaccinate her children.
gpt-4-turbo|social_iqa|01HJPX50NC8VMS0VQWGYSNBZMZ|Bailey wanted to tell people about their business. Bailey gathered their friends together.
gpt-4-turbo|social_iqa|01HJPX50P3T2SBXWW4NJ72BMD9|Robin abolished starvation in the states after she became president and took up lots of charities.
gpt-4-turbo|social_iqa|01HJPX50PM7YNW2K54TY8DKY8F|Tracy was given detention for texting on their phone during class.
gpt-4-turbo|social_iqa|01HJPX50Q6ZGF87QZMZKXK0B6N|Jesse took Kendall's clothes to the dry cleaner right before the wedding.
gpt-4-turbo|social_iqa|01HJPX50R0GC1F55PA2QTSSXP3|Addison took Jan's husband to the big play and it was very nice.
gpt-4-turbo|social_iqa|01HJPX50RJNYQGQBZR8YBE9HBA|skylar took a energy drink so she was wide awake.
gpt-4-turbo|social_iqa|01HJPX50S9JA38NVE718HM9VJT|Ash gave Aubrey Jan's name when she could not remember what it was.
gpt-4-turbo|social_iqa|01HJPX50SQCNTG4HX1CAE798W4|Skylar put things in the right direction by placing them correctly to solve the hard puzzle.
gpt-4-turbo|social_iqa|01HJPX50TDX6A7N5X8ZJ4Q36F1|Austin was leaving the love of his life in San Francisco. Austin boarded the train.
gpt-4-turbo|social_iqa|01HJPX50TZG7Y7EX33BMBRWRGD|Cameron raised the roof on the new house construction project with a large crane.
gpt-4-turbo|social_iqa|01HJPX50VPCP0RSX0GS5QFRGYK|Sasha made many friends at school because she is a kind and charming person.
gpt-4-turbo|social_iqa|01HJPX50WGKMHZ2CRSFDFNMA85|kendall signed them up for lessons even though they had no interest in doing it.
gpt-4-turbo|social_iqa|01HJPX50WZV40R2VJVJQT89GE5|Alex woke up feeling sick and refused to go with the rest of the family on a day trip.
gpt-4-turbo|social_iqa|01HJPX50XS9HCR5YH8V2C5V7MT|sydney was asked on a date by brad, so taylor decided to also ask sydney.
gpt-4-turbo|social_iqa|01HJPX50YBF1STPSK6XMKNNTKM|While their baby sister was taking a nap, Jordan played video games but kept the noise to a minimum.
gpt-4-turbo|social_iqa|01HJPX50YX2GZVGKMSWGRGW6TV|Casey felt Ash's eyes because they were swollen.
gpt-4-turbo|social_iqa|01HJPX50ZMZ7X7GWBXAJHV0ETG|Skylar challenged their brother to a soccer match to have some fun that day.
gpt-4-turbo|social_iqa|01HJPX510ECY1Q770R5K5K1RF0|Riley opened up in the form of writing and reciting her original poetry.
gpt-4-turbo|social_iqa|01HJPX5110JGPN888EM63NT6W8|Jesse was in good shape after studying for the entrance exam for weeks.
gpt-4-turbo|social_chem|01HJPX511K4ZXVW8KB142FJC7J|cutting my mother-in-law out of my sons life? t
gpt-4-turbo|social_chem|01HJPX5129SET0ZFPJA7N2KVGD|Girl Is Flustered by Boy Who Shadows Her at School
gpt-4-turbo|social_chem|01HJPX512Z0NMJ2HWXBDFVB3YQ|reporting a cheater to the professor
gpt-4-turbo|social_chem|01HJPX513PXC13VHN18SYY8MB0|using my own car and not putting gas in it
gpt-4-turbo|social_chem|01HJPX514TNH070GYQ752KNBGA|Moving on with my life
gpt-4-turbo|social_chem|01HJPX515GSBQ31JTZB5672YCA|They all wanted to learn as much as they could about history.
gpt-4-turbo|social_chem|01HJPX5166J3V1YW6PVYAF82W1|being upset that my husband likes to spend all his money gambling
gpt-4-turbo|social_chem|01HJPX516XMHY38TAJQ6YGSSX8|I am 14, and I like Phineas and Ferb.
gpt-4-turbo|social_chem|01HJPX517KE3298W5BXQDQZWMR|He told her he needed to drink a cola first.
gpt-4-turbo|social_chem|01HJPX518AED3Q41CY048WF1WN|Someone asked him to eat lunch with him.
gpt-4-turbo|social_chem|01HJPX5192JZM0Y5ECVP01SKXS|He didn't know they were usually quite obvious to everyone.
gpt-4-turbo|social_chem|01HJPX519V4E69B3FSKXQW260Z|I can turn off my emotions
gpt-4-turbo|social_chem|01HJPX51AJ3NY2SJB32ZQ6AEMV|I feel terrible every time I vent.
gpt-4-turbo|social_chem|01HJPX51B9Y1S7EX1XPR19D268|I cannot function in society like this..
gpt-4-turbo|social_chem|01HJPX51BZ5NDXPRBQHXVNNPFT|making a scene at Macdoanls
gpt-4-turbo|social_chem|01HJPX51CN3VQ100N7DE13JFWA|I gave away away my entire Hello Kitty collection to a hospital for kids with Cancer.
gpt-4-turbo|social_chem|01HJPX51DCCC8XV3EVWE0C81F6|Am I stalking my ex?
gpt-4-turbo|social_chem|01HJPX51E5MMN673PJZZ0X4WN9|90 percent off time I can’t sense smell
gpt-4-turbo|social_chem|01HJPX51EVNJCSGGBWV37HTGE8|In love with wives best friend
gpt-4-turbo|social_chem|01HJPX51FJX2YTTH00AKSNKHYT|Wife Saddled With Dog Duty Is Ready to Hand Over Leash
gpt-4-turbo|social_chem|01HJPX51G9X7C89AZKVP8V4JDW|I look up TotalBiscuit every few weeks just to see how bad the cancer is getting
gpt-4-turbo|social_chem|01HJPX51GTNBASPDR2EG3J8VJJ|Woman Stressed About In-Laws' Planned Visit
gpt-4-turbo|social_chem|01HJPX51HHBZGS7YXRPDR8P3D7|Someone told her that her stress was partly due to nowhere to relax.
gpt-4-turbo|social_chem|01HJPX51J7W1FDYFA29FF1RD65|Divorced Dads Need to Stay in Contact With Their Kids
gpt-4-turbo|social_chem|01HJPX51JXCV217P7A94X86TSD|Saw a counselors for the first time
gpt-4-turbo|social_chem|01HJPX51KMNFG1Y7E96YSY3SFQ|wanting to spend more time with my girlfriend
gpt-4-turbo|social_chem|01HJPX51MB8NQX25RR1TZ3GBJ9|referring to myself as fat when around other, fatter people
gpt-4-turbo|social_chem|01HJPX51N1X4H46MVSSXXCFZ9M|I pranked my Mother on Mother's Day by calling her, pretending to be the police telling her that her son had died in a horrible accident
gpt-4-turbo|social_chem|01HJPX51NQ377VTQ1HSM0QJ4WK|I don't know why I was afforded the ability to live.
gpt-4-turbo|social_chem|01HJPX51PECX074R9HZV6HJD1N|He searched through his bedroom but could not find them.
gpt-4-turbo|social_chem|01HJPX51Q5JWN9W2JEDKYD4BXN|ignoring my 'friend' after a hangout
gpt-4-turbo|social_chem|01HJPX51QV47VHK3QRWMDGC3ZS|I think she needs it for the daily grind.
gpt-4-turbo|social_chem|01HJPX51RHZD4YK3QR6R56S3B2|Andy purchased the seeds, and went to his garden to plant them.
gpt-4-turbo|social_chem|01HJPX51S89ETD1T08GPC144EY|Eating disorder or health conscious?
gpt-4-turbo|normbank|01HJPZ3DH17S3YJWKC2WF1GSN3|write grants to secure funding for operations and projects
gpt-4-turbo|normbank|01HJPZ3DHMV5X6RXMVPQFVKFKN|sign up for a boxing class
gpt-4-turbo|normbank|01HJPZ3DJ9B3RYREV92B58C746|bring toys to play with
gpt-4-turbo|social_chem|01HJPZ3DJZD26MGCQBJXW30EC7|logging into ex's snapchat to find out she (might have) cheated
gpt-4-turbo|normbank|01HJRH6S35PKYD3MR8FNG28HMV|following up with someone after a purchase
gpt-4-turbo|normbank|01HJRH6S425D565RGA23NF9GGJ|ask to borrow a pen or pencil
gpt-4-turbo|normbank|01HJRH6S4GJCZVWWKYJB6AH655|hang up your clothes
gpt-4-turbo|normbank|01HJRH6S54RHYQKYYRDY6TQ65Q|get a full body wax
gpt-4-turbo|normbank|01HJRH6S5PEN23DY44RC903BPF|buy an item without trying it on first
gpt-4-turbo|normbank|01HJRH6S631J5PV08V5DHBHEYS|dunking someone's head under water
gpt-4-turbo|normbank|01HJRH6S6Q77TAWQ9Z1ZXXFRPH|get everyone's attention
gpt-4-turbo|normbank|01HJRH6S7ACY007BXSY5K6H7VG|dress in a skirt
gpt-4-turbo|normbank|01HJRH6S7ZPKQKW5TDWDZRVB4D|refusing to talk to someone
gpt-4-turbo|normbank|01HJRH6S8H8M1E0JS3ZACAC6AQ|get your own drink
gpt-4-turbo|normbank|01HJRH6S8ZVJRRPQGBG4HTC1JR|dance the foxtrot
gpt-4-turbo|normbank|01HJRH6S9JXED9M0TP50Y54ZHA|bargain or haggle over prices
gpt-4-turbo|social_iqa|01HJRH6SA7PYM9RK17FVZPN4JX|Jordan used Taylor's tools to help fix the broken computer system at work.
gpt-4-turbo|social_iqa|01HJRH6SAVB2V27HWNXPFEASK7|Cameron took their friend to Japan where they tried many types of sushi.
gpt-4-turbo|social_iqa|01HJRH6SBCNM0QVYY8FE1S6F28|Sydney slid Taylor's hands into the mittens so that Taylor would not be cold when they went out.
gpt-4-turbo|social_iqa|01HJRH6SBZ894HQSXJHB4H2N08|Riley cashed Sasha's check after Sasha brought it to the counter.
gpt-4-turbo|social_iqa|01HJRH6SCNV5GR079CCH0QGHHX|Quinn called the police and reported that their dog was missing.
gpt-4-turbo|social_iqa|01HJRH6SDBTBH91QZDB5RWSDZP|Aubrey felt jealous of her friend getting the part even though she wasn't suppose to.
gpt-4-turbo|social_iqa|01HJRH6SDZGPJE6255TGY6RQG2|Alex saved Skylar the trouble of calling by showing up at her house.
gpt-4-turbo|social_iqa|01HJRH6SEKCY5TFVXTR8MWBYSD|Skylar supported Remy's claim because he thought that it was a fair claim.
gpt-4-turbo|social_iqa|01HJRH6SF4XVZPJWQTNCFZA22V|Alex expected Robin's answer by the next day latest but never heard from Robin again.
gpt-4-turbo|social_iqa|01HJRH6SFWPKP55S4V3ZM5EFKT|Riley saved Jan's life but Jan is still has to stay at the hospital for observation.
gpt-4-turbo|social_iqa|01HJRH6SGMFNMT5WZ2ECTVN9HV|Management yelled at Austin in front of everyone, so Austin put management in their place.
gpt-4-turbo|social_iqa|01HJRH6SHCAKBQM4ASMHDKB84F|Ash bought lunch at a price that was cheaper than usual.
gpt-4-turbo|social_iqa|01HJRH6SJ2WFEAK0SGTP6DCM59|Addison brushed her teeth and flossed before bed after seeing the dentist that morning.
gpt-4-turbo|social_chem|01HJRH6SJKE2GRP0H2AZS1D48C|He decided one day he was going to try out for the local team.
gpt-4-turbo|social_chem|01HJRH6SK888HRMS0ZMRNDAN6Q|giving my 14 year old cousin wasabi without telling her what it was first
gpt-4-turbo|social_chem|01HJRH6SKT4GTTZM53NTKSRC2M|issuing an Ultimatum
gpt-4-turbo|social_chem|01HJRH6SMK8VBHCH1Q5H7EMRD3|I stole things that are like $1 from a card store and my friend saw. I feel guilty especially because I know they saw and didn’t say anything. I feel guilty because it’s not the first time I’ve stolen.
gpt-4-turbo|social_chem|01HJRH6SN87DEG5MN5NJQ9D1GD|Welfare Hog Freely Feeds From Government Trough
gpt-4-turbo|social_chem|01HJRH6SNSR5P5K5G1XNGY0KQV|I have a fetish for hands.
gpt-4-turbo|social_chem|01HJRH6SPANEYBP8VMQZ706Y4G|asking my inlaws to change how they celebrate Hollidays with my children
gpt-4-turbo|social_chem|01HJRH6SPYNF4NT0M54SZYTH24|Tired of Being a Friend
gpt-4-turbo|social_chem|01HJRH6SQEXS93KGYZZ0TN39DV|I hate Mainstream Music, Let's give chance to hardworking artists.
gpt-4-turbo|social_chem|01HJRH6SR4C1ZMXMC3Z4HCKB0H|He decided it was his favorite instrument.
gpt-4-turbo|social_chem|01HJRH6SRRPH9K6P1DTH77D3ZC|Claire felt really proud that she had done so well.
gpt-4-turbo|social_chem|01HJRH6SSCXWMQAFY07HE1J0A9|deleting a photo of my body off of my husbands phone
gpt-4-turbo|social_chem|01HJRH6SSZRWQNEQFK1551GJ29|I fake being sick when I’m depressed.
gpt-4-turbo|social_chem|01HJRH6STK0NRF4VC87CH6GZ0S|When I was cooking dinner my son went into my makeup bag.
gpt-4-turbo|normbank|01HJRKDXJ2NKFWA2NVXSXH9HQ6|give a child a kiss
gpt-4-turbo|normbank|01HJRKDXK1M7PQ5QHCGG41N4FW|breastfeed a child
gpt-4-turbo|normbank|01HJRKDXKNM186T4VBH244Y8CD|play music on your phone
gpt-4-turbo|normbank|01HJRKDXMANBAGV5QJ62EJRXJ1|have a wedding ceremony
gpt-4-turbo|normbank|01HJRKDXMT0DQN2CHN5ZDV47BP|adjusting your crotch
gpt-4-turbo|normbank|01HJRKDXNMNQW9FP9Z6NNHWNCQ|wear all black
gpt-4-turbo|normbank|01HJRKDXP8MHZNGZ3XT2HNYQ0R|allow animals in the water
gpt-4-turbo|normbank|01HJRKDXPV0ZCFSD4KVP126G28|use the same towel to dry your body and your face
gpt-4-turbo|normbank|01HJRKDXQCJ62M0KH5QNDM0FAF|jump off
gpt-4-turbo|normbank|01HJRKDXQX51P4XMQ27V6N88M2|disrobe
gpt-4-turbo|normbank|01HJRKDXRK38RV11PZCXFH3ZVM|check out books
gpt-4-turbo|normbank|01HJRKDXS1VGD0NS9ANRP2E8JP|see a movie with violence
gpt-4-turbo|normbank|01HJRKDXSNJ5EHA8FX9JMP4587|have a conversation with a imaginary person
gpt-4-turbo|normbank|01HJRKDXT5TQ1F7FV8KF5QAMBD|hit the bed
gpt-4-turbo|normbank|01HJRKDXV08YSCVJ586AEJF3ZS|move around erratically
gpt-4-turbo|normbank|01HJRKDXVXJ5E67JFCSWDS5Z3S|talk about your religious beliefs
gpt-4-turbo|normbank|01HJRKDXWH0ZJ1S9TSHGZ3E1BQ|bring in outside food and drink
gpt-4-turbo|normbank|01HJRKDXX2YR2Y9MJ0BHVVA0M2|have a pet
gpt-4-turbo|normbank|01HJRKDXXMV0P5D4YWWXAP9FKQ|lay down on the ground
gpt-4-turbo|normbank|01HJRKDXY6KY6Z69DPA9SEBEXY|collect evidence
gpt-4-turbo|normbank|01HJRKDXYSQTGXZHKGB3TQ0PBY|have a sleepover
gpt-4-turbo|social_iqa|01HJRKDXZKY21CN94XNZPAE4F0|Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.
gpt-4-turbo|social_iqa|01HJRKDY0599JGVP35AV979N0D|Casey wanted to be class president and decided to throw her hat into the ring.
gpt-4-turbo|social_iqa|01HJRKDY0RETY88H5XXFZSCCY1|Casey sucked her thumb and was told she would need braces as a result.
gpt-4-turbo|social_iqa|01HJRKDY1G0Z38SNWGS5QWCYF1|Aubrey opened projects in the form and found a lot of tough projects to work on that night.
gpt-4-turbo|social_iqa|01HJRKDY20XM77CA58FVRH08XX|Sydney wanted to go to the new shopping mall. Sydney offered to drive my car. She parked my car at the parking.
gpt-4-turbo|social_iqa|01HJRKDY2J5C01KZ3RQWQP2QQV|Casey wanted something sweet to eat but decided to make something.
gpt-4-turbo|social_iqa|01HJRKDY39PSJB41K5Y3ZNN4VC|Remy obtained Quinn's education after years of studying sociology and English.
gpt-4-turbo|social_iqa|01HJRKDY3VJ6PFZ3QZ3MCAFCEN|Quinn used his daughter Casey's hands to knead the dough while making fresh bread.
gpt-4-turbo|social_iqa|01HJRKDY4D0HY8SFERXCJWQM9X|Bailey asked Olivia to come to their party. Bailey knew they would come.
gpt-4-turbo|social_iqa|01HJRKDY4XNZ0FG8KS19CDTE8C|Austin wouldn't let Jan drive drunk so he guided Jan's car into the driveway carefully.
gpt-4-turbo|social_iqa|01HJRKDY5JEPFX5JXSRTQ5YHDE|Aubrey folded Skylar's hands as they were placed in the coffin for the upcoming service.
gpt-4-turbo|social_iqa|01HJRKDY65N420PRKFWRZD35FB|Riley and Ash had been dating for 3 months and Riley really liked Ash but Riley found out that Ash had cheated on them.  Riley was hurt and upset but Ash was very apologetic and promised to never do it again.
gpt-4-turbo|social_iqa|01HJRKDY6PDEKT28DQDN8VYJ9J|Sydney wanted Kendall to come with her to the concert. Sydney asked Kendall's parents for her.
gpt-4-turbo|social_iqa|01HJRKDY78VTJ6YWVPRNEA3PT2|Jesse went to Quinn's grandmother's house to visit quinn and give them a present.
gpt-4-turbo|social_iqa|01HJRKDY7V0V32KT22MQ0YW22B|Skylar was at the hospital after having their first baby.
gpt-4-turbo|social_iqa|01HJRKDY8C8W37R2D4JYV0B2GA|Riley gave Tom a hug after they got broken up with.
gpt-4-turbo|social_iqa|01HJRKDY90MRDHG28SE9RSK3HY|Carson wanted sausage for breakfast but he use bacon instead.
gpt-4-turbo|social_iqa|01HJRKDY9RNNB6Q144AT5ZE6HQ|Cameron gave much time to helping the homeless clean up their living areas.
gpt-4-turbo|social_iqa|01HJRKDYADQTAH51GDT7NJ28AH|Jesse had their feelings hurt by a person that they thought was their friend.
gpt-4-turbo|social_iqa|01HJRKDYBA2W4V2SDQHGZT2B2Y|skylar knew kendall was hard headed, so she tilted kendall's head back to whisper the secret.
gpt-4-turbo|social_iqa|01HJRKDYBSND4R3P9J4BYMQD9Q|Bailey had gone to business school so they helped Ash start their own business.
gpt-4-turbo|social_chem|01HJRKDYCDQBB46RG5SP9Q9K6G|Boogers are . 25 calories
gpt-4-turbo|social_chem|01HJRKDYD0N94N5W7CXWHN50G9|going to a store without my friend
gpt-4-turbo|social_chem|01HJRKDYDPVW5NVZNK94ZC9PT5|I got knocked unconscious trying to confront a rude kid
gpt-4-turbo|social_chem|01HJRKDYECBW25N3BWSQW47HM1|I send hate messages to suicidal people
gpt-4-turbo|social_chem|01HJRKDYEY16TFXCSSQG606E19|I sold them on eBay, making about $4K.
gpt-4-turbo|social_chem|01HJRKDYFN3TE2SF6M3SC2QVFD|This girl from work keeps looking at me
gpt-4-turbo|social_chem|01HJRKDYG9MX3557AR4WKP1BD2|My friends told me they are escaping from school and I couldn't snitch on them. They were found hours later almost frozen to death.
gpt-4-turbo|social_chem|01HJRKDYGZQVC14PN3HBN1BCA3|He changed his behavior and finally was loved again.
gpt-4-turbo|social_chem|01HJRKDYHNRHEHAKH2Y8MEEBJZ|I can't cry for things I know I should cry for
gpt-4-turbo|social_chem|01HJRKDYJNP9QCXMMBJ0WYXK4K|Ricky and his dog went for a run in the park afterwards.
gpt-4-turbo|social_chem|01HJRKDYKEKD0X5X6APF4WTD4H|Day to day, this has effected me through how much activities I can do.
gpt-4-turbo|social_chem|01HJRKDYMJVS86NXR130ZMMTZY|I was afraid my parents would find out.
gpt-4-turbo|social_chem|01HJRKDYN7GVSQVNS29GTE0448|Cliche: in love with my best friend
gpt-4-turbo|social_chem|01HJRKDYNW9ZCSPH63AJQK49VF|Finally got a loving girlfriend but still have temptations to flirt
gpt-4-turbo|social_chem|01HJRKDYPDP57QTD5WTSSAYCE5|msging my Boyfriends Ex friend
gpt-4-turbo|social_chem|01HJRKDYQ08T67B0XMNJ0KGS19|They were able to apprehend him because of Tom's help.
gpt-4-turbo|social_chem|01HJRKDYQTRRAY81ZKBH8T1TBC|My grandpa bought me a bike with training wheels.
gpt-4-turbo|social_chem|01HJRKDYRHFVNXX72CA02RR2WD|I’m 22 and can’t read an Analog Clock
gpt-4-turbo|social_chem|01HJRKDYS563D9W791GF8AD5W9|We drove back home laughing and talking about our day.
gpt-4-turbo|social_chem|01HJRKDYST85F6V86B4E9RQHMG|She wants everything to be just right for when they eat.
gpt-4-turbo|social_chem|01HJRKDYT9Q3HPN0EGXRQV00MY|Kim was at her first college party.
gpt-4-turbo|normbank|01HMZ2BKCCQWSE2HR85M38GGZK|be afraid to take your time
gpt-4-turbo|normbank|01HMZ2BKD133A5KSARB2K0PET4|eat cake batter
gpt-4-turbo|normbank|01HMZ2BKDPGJK4N0MGKBERB3AV|ask someone a personal question
gpt-4-turbo|nan|01HMZ2BKEDCW0YQJ1YM1E48PG5|sing danny boy
gpt-4-turbo|normbank|01HMZ2BKF3BNDKB2E7J9TG4CFJ|use power tools
gpt-4-turbo|normbank|01HMZ2BKFS8YFYHCH56ZVM07N3|play baseball
gpt-4-turbo|normbank|01HMZ2BKGGB1D771Z7PTY4J93Q|bring your own food
gpt-4-turbo|normbank|01HMZ2BKH2JJ96SVV3HW0425VX|vacuum
gpt-4-turbo|normbank|01HMZ2BKHRFSF3K38JS2H5DFZA|read out loud
gpt-4-turbo|normbank|01HMZ2BKJF19Q9YP8N9KZ7D1FC|work full-time
gpt-4-turbo|normbank|01HMZ2BKK2JAZNEGGMA3JW9J6J|ask for blessings from the deities
gpt-4-turbo|normbank|01HMZ2BKKR3ET5B21TXGV25NE6|get a tattoo of a cartoon character
gpt-4-turbo|normbank|01HMZ2BKMFR3AZZCAZ23X3Y7G9|put on a bathing suit
gpt-4-turbo|normbank|01HMZ2BKN6P55SR5QEG0VT26RK|display religious symbols or artifacts
gpt-4-turbo|normbank|01HMZ2BKNW8AG1B1ZB2N9FY00T|touch or handle merchandise
gpt-4-turbo|normbank|01HMZ2BKPEN6H61V2R4H0S4N84|trash the your opponents
gpt-4-turbo|normbank|01HMZ2BKQ41HMZ4KQNVMRXJN80|buy someone a mug
gpt-4-turbo|normbank|01HMZ2BKQJQG6T11NJKA6R2Z9Q|climb without a partner
gpt-4-turbo|normbank|01HMZ2BKR4CTW28ES472EP72AA|bake a cake
gpt-4-turbo|normbank|01HMZ2BKRT5JMQP9T73SQ1MMC4|publicly urinate or defecate
gpt-4-turbo|normbank|01HMZ2BKSBQ0KDKQBM1KD4BSS5|talk to a passengers
gpt-4-turbo|normbank|01HMZ2BKT1DSFFQ8BSKF18Y5D5|suck your thumb
gpt-4-turbo|normbank|01HMZ2BKV4F9WBP796BYXB2TBH|hide a message in a bottle
gpt-4-turbo|normbank|01HMZ2BKVR513KAVR7TP5APP75|chewing gum
gpt-4-turbo|normbank|01HMZ2BKWE9HDA46QT7F59617X|wash your hair
gpt-4-turbo|normbank|01HMZ2BKX5TF57VR8B11Z5A8M1|go on a first date
gpt-4-turbo|normbank|01HMZ2BKXVT003B503C9HHXBJV|sweep and mop the bathrooms
gpt-4-turbo|normbank|01HMZ2BKYDSEBAYX5P4MRVV0N1|perform a black magic ritual
gpt-4-turbo|normbank|01HMZ2BKZ51HQWXDH5T94YTEDB|water the plants during the day
gpt-4-turbo|normbank|01HMZ2BKZVKENB2820QYX1BR14|wear a t-shirt with a political message
gpt-4-turbo|normbank|01HMZ2BM0H56ACQ051VDJQ7KF1|put the paper in the developer
gpt-4-turbo|normbank|01HMZ2BM179AADWK2PA4KQ069X|hit a ball with a stick
gpt-4-turbo|normbank|01HMZ2BM1Y0RX2GKR1BRKZGV5E|monitor the instruments and help navigate the plane
gpt-4-turbo|normbank|01HMZ2BM2MPB0E83106SWJTEYB|wear a parka
gpt-4-turbo|normbank|01HMZ2BM3B10R1A8ZQKKWWF56J|raise your voice at someone
gpt-4-turbo|normbank|01HMZ2BM42RN9H4PJ8XYXFFHBK|make a sandwich for lunch
gpt-4-turbo|normbank|01HMZ2BM4REV6PYBCJ3ME5YWGM|have a moat
gpt-4-turbo|normbank|01HMZ2BM5FRS79V7M2YXDB8MT8|handle employee benefits
gpt-4-turbo|normbank|01HMZ2BM65ET1D1C5N9ZQ80MSS|crawl under shelves to retrieve dropped items
gpt-4-turbo|social_iqa|01HMZ2BM6VX9MTZP8GXVEZG0FE|Sasha was interested in Carson's friend but never talked to them. Sasha texted Carson's friend one night.
gpt-4-turbo|social_iqa|01HMZ2BM7H3D1WPW5C73TPKFJP|Sasha was on a stand up comedy show and she thinks it was really funny and amusing.
gpt-4-turbo|social_iqa|01HMZ2BM88HV54BPVWNWJ9YXP3|Riley defied every order and followed her own plan.
gpt-4-turbo|social_iqa|01HMZ2BM8YK399Y53C90KAZKGN|Casey gave Jesse training in martial arts through the ancient ways of his order.
gpt-4-turbo|social_iqa|01HMZ2BM9N7YZ5N32ZTEVC315S|Taylor needed a student loan. Robin assisted by cosigning for Taylor.
gpt-4-turbo|social_iqa|01HMZ2BMABX1801V72HZ3DBANZ|Carson wanted to relax a little bit after work. Carson drank one beer to calm down.
gpt-4-turbo|social_iqa|01HMZ2BMB2KZ4Q4ZS5B8Q6VQK6|Remy was more serious at school and they enhanced their understanding.
gpt-4-turbo|social_iqa|01HMZ2BMBR35HYMYJET0SDM0GB|Addison got a crown when they became queen. Addison wore the crown with pride.
gpt-4-turbo|social_iqa|01HMZ2BMCFEGGRW64ZX6J28WSE|Taylor played a game on their computer when they were supposed to be paying attention in class.
gpt-4-turbo|social_iqa|01HMZ2BMD6M6278J5TYAD59JJS|Cameron waited for their turn in the long line at he hospital last week.
gpt-4-turbo|social_iqa|01HMZ2BMDW41B1V8K5K9RVBK5Z|Carson was getting very frustrated, so Taylor went ahead and took his turn.
gpt-4-turbo|social_iqa|01HMZ2BMEKCMQTGW5X37Y49TNQ|austin had a gun shown to him so he also grabbed his gun.
gpt-4-turbo|social_iqa|01HMZ2BMF9SNVHJG49Q3H2SWS5|When Robin didn't show up to work, the burden of her job was forced upon Casey.
gpt-4-turbo|social_iqa|01HMZ2BMG27ABA56Z5CB3FEJ6G|Sydney played golf even though she didn't want to because her parents forced her to.
gpt-4-turbo|social_iqa|01HMZ2BMGT86Q8J87TAJ872E81|Cameron got up on the wrong side of the bed after staying out way too late the night before.
